so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,79,0.003,0.4,,,1,23,2,21,서울,,1,,2,,2024-06-22 21:00,1,0.014,중구,1,0.018
1,,43,0.003,0.5,,,1,20,1,17,서울,,1,,2,,2024-06-22 21:00,1,0.016,한강대로,1,0.025
1,,64,0.003,0.4,,,1,19,2,15,서울,,1,,2,,2024-06-22 21:00,1,0.010,종로구,1,0.021
1,,66,0.003,0.4,,,1,27,2,18,서울,,1,,2,,2024-06-22 21:00,1,0.013,청계천로,2,0.020
1,,61,0.002,0.5,,,1,21,2,14,서울,,1,,2,,2024-06-22 21:00,1,0.014,종로,1,0.019
1,,61,0.003,0.4,,,1,24,2,15,서울,,1,,2,,2024-06-22 21:00,1,0.015,용산구,1,0.018
1,,66,0.002,0.5,,,2,28,2,19,서울,,1,,2,,2024-06-22 21:00,1,0.012,광진구,1,0.032
1,,64,0.003,0.3,,,1,22,2,17,서울,,1,,2,,2024-06-22 21:00,1,0.008,성동구,1,0.021
1,,47,0.002,0.4,,,1,14,1,7,서울,,1,,1,,2024-06-22 21:00,1,0.005,강변북로,1,0.026
1,,66,0.002,0.4,,,1,25,2,18,서울,,1,,2,,2024-06-22 21:00,1,0.009,중랑구,1,0.017
1,,69,0.003,0.4,,,1,25,2,20,서울,,1,,2,,2024-06-22 21:00,1,0.013,동대문구,2,0.021
1,,66,0.003,0.7,,,1,28,2,20,서울,,1,,2,,2024-06-22 21:00,1,0.019,홍릉로,1,0.016
1,,61,0.002,0.5,,,1,20,2,14,서울,,1,,2,,2024-06-22 21:00,1,0.013,성북구,1,0.027
1,,72,0.002,0.4,,,1,24,2,16,서울,,1,,2,,2024-06-22 21:00,1,0.020,정릉로,2,0.017
1,,59,0.001,0.4,,,2,13,2,12,서울,,1,,2,,2024-06-22 21:00,1,0.007,도봉구,1,0.034
1,,54,0.002,0.6,,,1,16,2,12,서울,,1,,2,,2024-06-22 21:00,1,0.007,은평구,1,0.022
1,,55,0.002,0.5,,,2,17,2,8,서울,,1,,2,,2024-06-22 21:00,1,0.010,서대문구,1,0.036
1,,66,0.002,0.4,,,1,20,2,19,서울,,1,,2,,2024-06-22 21:00,1,0.013,마포구,1,0.023
1,,66,0.003,0.5,,,1,28,2,22,서울,,1,,2,,2024-06-22 21:00,1,0.015,신촌로,1,0.024
1,,56,0.003,0.4,,,1,19,2,14,서울,,1,,2,,2024-06-22 21:00,1,0.013,강서구,1,0.028
1,,54,0.003,0.5,,,1,18,2,8,서울,,1,,2,,2024-06-22 21:00,1,0.018,공항대로,1,0.028
1,,55,0.002,0.4,,,2,13,2,6,서울,,1,,1,,2024-06-22 21:00,1,0.010,구로구,1,0.036
1,,72,0.003,0.5,,,1,23,2,19,서울,,1,,2,,2024-06-22 21:00,1,0.017,영등포구,1,0.028
1,,48,0.003,0.5,,,1,19,1,15,서울,,1,,2,,2024-06-22 21:00,1,0.020,영등포로,1,0.020
1,,51,0.002,0.4,,,1,15,2,8,서울,,1,,2,,2024-06-22 21:00,1,0.015,동작구,1,0.021
1,,51,0.003,0.5,,,1,15,2,11,서울,,1,,2,,2024-06-22 21:00,1,0.024,동작대로 중앙차로,1,0.021
1,,56,0.003,0.5,,,1,18,2,11,서울,,1,,2,,2024-06-22 21:00,1,0.015,관악구,1,0.023
1,,66,0.003,0.4,,,1,21,2,14,서울,,1,,2,,2024-06-22 21:00,1,0.016,강남구,1,0.020
1,,55,0.002,0.4,,,2,19,2,7,서울,,1,,1,,2024-06-22 21:00,1,0.010,서초구,1,0.036
1,,56,0.002,0.5,,,1,27,2,18,서울,,1,,2,,2024-06-22 21:00,1,0.007,도산대로,1,0.022
1,,43,0.002,0.7,,,1,17,1,9,서울,,1,,2,,2024-06-22 21:00,1,0.023,강남대로,1,0.014
1,,50,0.002,0.5,,,1,21,1,13,서울,,1,,1,,2024-06-22 21:00,1,0.014,송파구,1,0.021
1,,53,0.002,0.4,,,2,16,2,12,서울,,1,,1,,2024-06-22 21:00,1,0.009,강동구,1,0.034
1,,51,0.003,0.5,,,1,27,2,14,서울,,1,,2,,2024-06-22 21:00,1,0.014,천호대로,1,0.016
1,,42,0.003,0.3,,,1,9,1,2,서울,,1,,1,,2024-06-22 21:00,1,0.007,금천구,1,0.025
1,,61,0.003,0.6,,,1,20,2,12,서울,,2,,2,,2024-06-22 21:00,1,0.037,시흥대로,1,0.013
1,,66,0.002,0.3,,,1,22,2,15,서울,,1,,2,,2024-06-22 21:00,1,0.007,강북구,1,0.020
1,,59,0.003,0.5,,,1,16,2,14,서울,,1,,2,,2024-06-22 21:00,1,0.015,양천구,1,0.020
1,,66,0.003,0.3,,,1,24,2,16,서울,,1,,2,,2024-06-22 21:00,1,0.009,노원구,1,0.017
1,,74,0.003,0.5,,,1,25,2,17,서울,,1,,2,,2024-06-22 21:00,1,0.019,화랑로,2,0.024
